RiskScore,TotalDebtToIncomeRatio,MonthlyIncome,AnnualIncome,InterestRate,LoanAmount,BaseInterestRate,NetWorth,LoanDuration,MonthlyLoanPayment,TotalAssets,DebtToIncomeRatio
33.6,0.1730289485515403,4720.833333333333,56650,0.2164127524804118,12652,0.195152,250291,36,480.8408279537298,261435,0.0441568040602275
53.0,0.2811833524821718,4170.166666666667,50042,0.1871293871402189,19105,0.233105,7021,60,492.58144374273706,11162,0.308869314312398
39.2,0.090653448921216,11860.5,142326,0.2237947653068069,13499,0.226499,69623,96,303.1952309300833,73836,0.29546987577122
59.0,0.4997267654926323,1335.0833333333333,16021,0.2347662128605438,14655,0.253155,3933,72,381.1768758297885,29278,0.1045686898825265
48.0,0.4010842430949536,2891.5,34698,0.2314783138154811,14314,0.222314,55430,60,404.73508890905856,128035,0.1005979617163389
32.800000000000004,0.1731606990474937,8895.75,106749,0.2044126918976523,15698,0.195698,204416,48,481.3942885517428,212568,0.1472796820224425
51.0,0.1804154528987787,4928.166666666667,59138,0.2114439606199491,13205,0.231205,5576,72,325.1174211273312,24257,0.1116632265342507
46.400000000000006,0.0873594142941465,9518.0,114216,0.2011140337279482,9809,0.197309,2482,60,260.48690525168723,23984,0.6304483929012554
53.0,0.2351221749448646,5275.0,63300,0.231670288042,16476,0.2399759999999999,6903,24,864.2694728341611,14710,0.2357985888572082
60.0,0.4874275301513454,3306.333333333333,39676,0.2534741417542575,47795,0.275295,81172,60,1412.5978905237318,157749,0.5733945375308696
58.0,0.3889465109073244,4932.666666666667,59192,0.2006826444515419,45608,0.233608,58413,36,1696.5434894688626,67609,0.2301158454793847
51.0,1.2106004696960564,1254.9166666666667,15059,0.2460206651026253,20240,0.26424,16754,24,1076.2027060960763,29861,0.0670663376140666
51.0,0.8821776393249853,1275.4166666666667,15305,0.2253753021812303,21452,0.212452,9931,48,682.1440641557417,16936,0.0631537920264881
48.0,0.369207792391151,2958.1666666666665,35498,0.1648459712586028,11136,0.185136,2705,36,394.1781845250898,34189,0.1764443521487324
36.8,0.215189684349813,5018.916666666667,60227,0.239128970981678,25264,0.262264,105395,84,622.0190932780162,141168,0.1441126824725377
55.0,0.6262963304952381,1988.4166666666667,23861,0.197034892145729,19570,0.20857,76539,36,724.3380618289065,85166,0.2237112245223063
62.0,0.2696077496339709,6153.583333333333,73843,0.2346033277950418,44668,0.2161679999999999,3068,60,1271.0537546851097,56887,0.1569137013697023
51.0,0.1262220627848725,5091.583333333333,61099,0.2610500458274805,10094,0.255594,46283,84,262.6701511744103,69823,0.265219566244273
53.0,0.8451189173630622,1250.0,15000,0.3435940105064144,11318,0.298818,290269,120,335.3986467038278,303949,0.4483848187309043
55.0,0.2338510562781137,2894.833333333333,34738,0.2739332434358121,10166,0.265166,238326,72,288.9598327490928,249298,0.3145138105264432
49.0,0.2188130896224162,7157.416666666667,85889,0.2796177481671844,24186,0.253686,13345,72,696.1364545483091,18899,0.0505386436633547
36.0,0.1504954016313275,6558.416666666667,78701,0.2189123509215851,18326,0.247326,140566,60,505.01155031559216,170720,0.0713019781228963
45.6,0.2918588333118991,2076.1666666666665,24914,0.152812,8015,0.191015,41853,36,278.94758109438794,49999,0.6442658599722689
50.0,0.3188759399250725,4769.25,57231,0.2304681982164745,35876,0.276876,140547,48,1150.799076487652,214229,0.1347406133958152
37.6,0.0468120851183611,13608.583333333334,163303,0.1895312940882554,12850,0.20035,97422,72,300.0461613403112,115322,0.072959105598751
54.0,0.4780349185430889,3204.4166666666665,38453,0.2262305329127014,30517,0.228017,42871,48,971.8230602281166,46352,0.103003264767073
44.8,0.2924156916888919,8326.666666666666,99920,0.1754356855019271,23363,0.197363,4209,12,2136.847992796173,27778,0.2058309595482642
47.0,0.1747122747083923,4821.666666666667,57860,0.2876549577385666,25576,0.265076,437436,96,683.4043512189653,463089,0.0743870323199498
53.0,0.3089627143958264,2574.1666666666665,30890,0.1765266450530429,10176,0.1901759999999999,14676,24,506.3215206405897,43010,0.1247302171537788
55.0,0.8789827706405052,1296.75,15561,0.2423902998160025,20169,0.255169,11052,36,793.8209078280751,16965,0.3745583771833413
54.0,0.2398003695631571,8829.75,105957,0.3267509877777587,53987,0.303987,95758,72,1718.3773131502862,165299,0.6210591922536411
50.0,0.1509700491891237,6907.25,82887,0.279583208405156,20996,0.273496,4958,84,571.7878722615751,17748,0.1515959478647919
47.0,0.2306990330014403,4462.916666666667,53555,0.2176638798305933,29418,0.218918,2753,60,808.5905593660116,12300,0.1479091377421932
46.0,0.1002983642339339,8803.25,105639,0.2637402272037486,20409,0.251909,142935,108,495.9515749423792,165235,0.3270783966346243
50.0,0.2335023195145061,4861.833333333333,58342,0.260699050163498,10077,0.225577,9558,24,543.2493604262762,25120,0.1928691558716403
32.800000000000004,0.1417817003634998,10161.583333333334,121939,0.1846492795717869,41215,0.209715,185710,48,1220.7265633854008,188167,0.2444251231872098
53.0,0.9453145676926072,1337.8333333333333,16054,0.2316638280282655,20612,0.242612,39270,36,799.6733391447596,51140,0.2065330441829189
51.0,0.4998597592758183,3004.75,36057,0.2142852811770499,29501,0.218501,1500,36,1117.9536116840152,19637,0.187428659092861
39.2,0.2444975801738244,10340.5,124086,0.1676517991879249,36798,0.196298,10479,24,1815.227227787432,32072,0.3397144748555306
38.400000000000006,0.0324583175128589,22724.416666666668,272693,0.2181145262191699,19717,0.251717,88895,84,459.5963314611698,94338,0.2701575024326625
52.0,0.2946505995419076,4063.0833333333335,48757,0.221322804523553,16173,0.233673,3120,84,380.1899401553989,39354,0.3053767173882865
48.0,0.2748476528064098,2640.25,31683,0.2094714381765813,10566,0.2365659999999999,154938,24,542.6665153221236,278821,0.0903706187413158
42.400000000000006,0.1021499192309803,5750.25,69003,0.2484149684060046,5376,0.2908759999999999,13502,96,129.3875730579447,37496,0.1743798193059494
63.0,0.2609354984345637,6034.0,72408,0.2522172,23181,0.210181,5786,48,771.4847975541575,22524,0.3654388165555161
44.0,0.2261158840253349,8757.25,105087,0.2737124988995358,48331,0.266831,142052,108,1208.1533253808643,201313,0.1805575456028504
48.0,0.9227589445355052,1250.0,15000,0.2764505169969469,26412,0.257912,223211,96,685.4486806693817,234374,0.3501123923122793
52.0,0.3285884173512688,3209.4166666666665,38513,0.2311041625309269,21225,0.216225,16183,48,681.5771431207845,44836,0.1684358288403604
39.2,0.2086140314895691,6462.916666666667,77555,0.1999300668014297,22854,0.244354,29447,36,849.2551010144613,39027,0.1882781482364729
57.0,0.8804342432710571,1250.0,15000,0.2198549053492861,18177,0.225177,1077,48,572.5428040888214,99036,0.2360832262016053
55.0,0.4265347892196666,2081.083333333333,24973,0.2214430975949385,17466,0.206966,14823,48,551.6544409318947,44944,0.4149944474463848
48.0,1.018569210587213,1520.6666666666667,18248,0.1736984562994106,16443,0.204443,192648,24,815.9042462329553,204131,0.0636283363199063
42.400000000000006,0.1950486955031495,5613.916666666667,67367,0.1715112,26889,0.214389,99087,48,777.9871224967229,115099,0.4659121203237648
50.0,1.241946318602034,2701.5,32418,0.1507093998795362,32208,0.173708,313319,12,2908.117979703395,326015,0.3187597670827545
50.0,0.4906432260830812,2239.9166666666665,26879,0.1989639513607613,20313,0.200813,71090,60,536.999939490595,94575,0.2196495791430893
36.8,0.2365855211689778,4510.666666666667,54128,0.1777530372100154,20676,0.195676,87804,36,745.1584241528697,92000,0.1001359210966172
56.0,0.7695016785743396,1660.3333333333333,19924,0.2991204,21767,0.249267,14660,48,782.6292869929284,22711,0.3843523709782191
34.4,0.102685240220213,7565.666666666667,90788,0.1404285694238773,18243,0.167243,5911,36,623.8822990927248,13542,0.1466334645866133
33.6,0.0881333501556318,15870.416666666666,190445,0.2141253058596204,28894,0.204394,115773,36,1094.712989199109,154003,0.0128331622197715
50.0,0.5796511273150141,2947.6666666666665,35372,0.1969996578311956,25313,0.1943129999999999,119179,24,1284.618306282223,123931,0.4043888356972662
58.0,1.7138900559826005,1250.0,15000,0.228380005946275,50226,0.260226,82198,48,1605.3625699782506,153676,0.2267352834345347
49.0,0.5011766435212588,3402.4166666666665,40829,0.1793120992231495,25478,0.201978,34774,36,920.2117648607896,42122,0.2537459242072161
51.0,0.2048246421828965,4887.916666666667,58655,0.3344401374117971,26493,0.299993,22423,96,795.1657822698164,64414,0.1751875631410331
53.0,0.3176730841316096,5733.416666666667,68801,0.2857824,18652,0.238152,429421,36,777.3521551115733,446359,0.3352329239387456
50.0,0.1771097303726556,7727.583333333333,92731,0.2154245032726364,31116,0.216616,7629,48,972.6302005988942,11209,0.2211172138523826
64.0,1.4497027068648651,3337.5,40050,0.3584856961488986,112253,0.3347529999999999,7672,48,4432.382784161488,18390,0.184527533056013
45.0,0.4702315117680041,3398.6666666666665,40784,0.2927634730946802,41465,0.247465,172083,72,1228.1601646621898,197632,0.2037609569235825
48.0,0.9602231910360268,1250.0,15000,0.2098160677696806,26563,0.227563,474038,48,822.2789887950337,496594,0.2981084080452126
36.0,0.0844861076147688,7224.916666666667,86699,0.1988497365267741,7469,0.204969,8130,60,197.40508700773685,36531,0.17913554613205
55.0,0.5500142367013272,1473.0,17676,0.2438807925407874,17801,0.242801,48674,48,584.170970661055,70945,0.3556427908501307
53.0,0.2601629568923058,3562.6666666666665,42752,0.239661811526782,14379,0.240879,146382,36,563.8738944216548,172820,0.2975879340693383
53.0,1.164864840154552,2424.6666666666665,29096,0.2486006220333732,40138,0.230138,36237,24,2139.408949094737,86250,0.2394469395065947
44.0,0.2824561409823392,5082.666666666667,60992,0.2164492880291759,24642,0.188142,38852,48,771.6304125662359,52202,0.0555881712831942
49.6,0.160810327525483,8336.0,100032,0.209684,19105,0.262105,45588,60,516.5148902524263,49889,0.2266498679075305
47.0,0.1801773771362968,2990.1666666666665,35882,0.2000114779249506,9259,0.194259,8266,48,281.76038720038355,61154,0.1475930047073919
41.0,0.6129792720342581,2731.75,32781,0.2320653232549298,17468,0.210968,294254,60,494.5061263795844,299192,0.0937773219549579
52.0,0.2251745344196735,4308.916666666667,51707,0.268223329089061,20069,0.242569,2253,72,563.2583042698386,24114,0.2173883786590151
61.0,1.498355014775571,2604.25,31251,0.2474564400627162,66582,0.243582,3276,24,3545.091047229281,30153,0.1601695538852808
57.0,0.586980693270773,1863.25,22359,0.2407135350402262,26889,0.259889,84640,48,877.6917767367678,131521,0.4552599311322595
38.400000000000006,0.0724094276579064,12720.833333333334,152650,0.2135114898398752,24815,0.214815,37909,48,773.1082609982855,127009,0.3843075055403481
58.0,0.7681879924283986,1260.0,15120,0.2441707013922021,21849,0.265849,3825,84,544.9168704597823,18522,0.2386445210334251
45.6,0.2757976112735793,4985.833333333333,59830,0.1746266391648873,22734,0.212734,435808,24,1129.0809235415209,449345,0.5723276818607661
36.8,0.1727631084679503,4609.0,55308,0.1696312,19539,0.212039,93747,72,434.265166928783,101618,0.2662099288951911
49.0,0.4870910711311893,2579.0,30948,0.2233077175954149,25291,0.209791,78660,36,970.2078724473372,99978,0.3603486893761465
50.0,0.1277062425991583,4745.0,56940,0.2616014984888397,15752,0.254752,64448,96,392.9661211330063,97769,0.1172375847043762
46.0,0.3518220745417639,3666.6666666666665,44000,0.2441737483948041,28714,0.264214,301790,60,833.0142733198009,331208,0.1999940926692494
49.0,0.237285039409926,6796.166666666667,81554,0.3165122753604206,35101,0.295601,69780,72,1093.628675336426,84421,0.2943235497801772
48.0,0.3093973859230132,2213.9166666666665,26567,0.2321913245705517,17339,0.216339,9625,60,490.98002931805775,55729,0.0653370744758526
52.0,0.4977395683804934,2797.4166666666665,33569,0.2245695694108283,37172,0.234172,33106,48,1180.3849642470652,56452,0.0325882994284799
44.0,0.099902424393051,7853.166666666667,94238,0.1876325332493067,15917,0.1969169999999999,41531,36,581.5503891626953,54668,0.4589280817317269
40.0,0.3254839774590545,3762.0833333333335,45145,0.196131632018912,11431,0.212931,93155,48,345.4978468657514,119670,0.2974102492388263
50.0,0.2375028889770024,5906.75,70881,0.2141664978094515,34590,0.23109,1188,48,1078.8701894649091,3628,0.117077159340471
55.0,0.0795101627244969,8770.0,105240,0.2297078574766258,13937,0.230937,33814,108,306.3041270938386,62442,0.1983002305886784
57.0,0.2597488981137047,5309.083333333333,63709,0.2654236406441723,22221,0.258721,68037,48,756.0285458271679,80888,0.4732130443935223
64.0,0.6367863989514666,2642.75,31713,0.2864304610851083,38865,0.290365,6605,48,1368.8672558289884,49718,0.6010572141517163
54.0,0.51853760254114,2491.6666666666665,29900,0.2994520375102945,23396,0.2703959999999999,2585,72,703.022859665007,23801,0.1858154591411437
43.2,0.1376717813683426,7306.083333333333,87673,0.2400203909193612,10667,0.221667,66069,72,280.84150732555884,71561,0.3856831470770867
61.0,0.5685388820500045,4621.166666666667,55454,0.2541482188827534,35551,0.2380509999999999,5939,36,1421.3129304334127,33268,0.5263880901334251
47.0,0.326964793951833,3393.5,40722,0.3027985474321377,31637,0.307637,121086,120,840.5550282755453,141270,0.1438867784578108
46.0,0.2242328623445195,6380.916666666667,76571,0.1911275958480552,34173,0.189173,72093,48,1023.8112085485172,78008,0.216618899532913
53.0,0.4740528125440489,1908.4166666666667,22901,0.2534033093899361,18493,0.250993,89532,48,616.690288339272,99630,0.2641119559708486
51.0,0.2206675790573644,4118.416666666667,49421,0.2580680759549189,17161,0.227661,9540,72,470.8010353828341,17627,0.2587870541153639
60.0,0.448978803128064,3625.5833333333335,43507,0.2656139999999999,31845,0.221345,6480,48,1083.810065641057,30751,0.0847899222421028
50.0,0.4150678631356994,3450.1666666666665,41402,0.2377350219528855,25900,0.2249,4623,36,1013.0533057953522,36312,0.0923347235350403
56.0,0.2974035458340298,3117.083333333333,37405,0.2061054309744192,15770,0.19777,4530,48,485.0316359934904,15028,0.2996445580910432
51.0,0.2510053336333399,4033.25,48399,0.264095005853557,19629,0.232629,75230,48,666.3672618766681,91813,0.2145117695194217
51.0,0.2321454899333234,3731.25,44775,0.2196043266803594,20270,0.22827,8511,48,638.1928593137129,31257,0.1961324000931501
40.8,0.0882051686371857,10475.916666666666,125711,0.2181261203260186,12133,0.217133,8014,48,381.0299962124382,18425,0.2147964982057931
59.0,0.9272101987092892,1260.9166666666667,15131,0.2283225931236707,25599,0.203599,58703,48,818.1347930558546,73848,0.3810705651994572
41.6,0.1507116998870917,6131.333333333333,73576,0.1754386463723086,12055,0.195555,4647,36,433.0636692410553,50167,0.24930210540325
52.0,0.2493894620443746,4195.416666666667,50345,0.2324865552985765,18805,0.212805,47177,48,605.2927055520034,50714,0.0879305410086949
28.8,0.4536177821132481,4734.666666666667,56816,0.1394149509329506,20719,0.151219,621711,12,1859.728992378859,636666,0.0764620140703347
52.0,0.3688642527332226,2882.333333333333,34588,0.2409475521345167,18962,0.203462,78693,48,619.1897311280587,89846,0.2816647708675246
40.0,0.1542540985822655,4615.25,55383,0.2329611404795455,9093,0.2215929999999999,7531,48,292.9212284818008,13714,0.0936257148249453
40.0,0.1313481793912704,5431.666666666667,65180,0.2326246575872104,15086,0.254586,3079,72,390.4395277269173,64928,0.1893285066405936
56.0,0.5368186207226998,1250.0,15000,0.2690634753047489,13879,0.257379,21596,60,423.0232759033748,27247,0.3668960471331983
37.6,0.1174759893208244,12478.0,149736,0.2082644425030576,27917,0.242917,279531,48,861.8653947452472,290530,0.3647327710678125
53.0,0.6938166438998383,3559.75,42717,0.2140001983452904,41561,0.2240609999999999,37949,24,2143.813798122449,48731,0.252630803759783
40.0,0.1251793100176695,5534.75,66417,0.1919831119533875,9493,0.209493,87273,48,284.8361861202966,112110,0.1906296164057773
47.0,0.4278763599607598,1843.4166666666667,22121,0.2379574379604218,18805,0.2228049999999999,56022,60,538.7544132243307,63386,0.0641242479182796
49.0,0.2563444172023625,3129.833333333333,37558,0.2277135049624295,18686,0.213686,2660,60,524.3153017738612,9316,0.2197450342212391
40.0,0.1284015849236877,11224.25,134691,0.1980686738965583,16421,0.180921,20839,24,834.2114895797027,48831,0.169401203082851
46.0,0.4401786990222462,2758.4166666666665,33101,0.2389714754694289,29824,0.265324,211332,60,856.1962596946144,220116,0.1637510519359936
40.8,0.1447156136853083,3697.0,44364,0.2562125018508351,5538,0.271038,195449,36,222.0136237945848,203672,0.3018415197190495
60.0,0.2537262360513003,3216.333333333333,38596,0.2558993551055523,13078,0.248578,4304,36,524.0681505529991,40099,0.3877176939850358
56.0,0.1538094965534717,11662.833333333334,139954,0.3124454576901247,40858,0.316358,45696,48,1500.8545233870482,51633,0.4489110385391811
55.0,0.2808051128433493,4453.666666666667,53444,0.2880802820182057,16462,0.260962,11955,60,520.6123708999971,44150,0.237526015053893
35.2,0.0761661709781654,9460.25,113523,0.2038890207086711,10990,0.19449,112469,60,293.5510189961893,130005,0.2217120257217952
58.0,0.2901895343596445,2605.833333333333,31270,0.173323616262346,6624,0.181124,47138,12,605.1855616188404,78348,0.0920790813606543
57.0,0.3145641869935919,3893.0833333333335,46717,0.2457024490774915,20915,0.265915,3094,60,608.624593648303,8920,0.4418981690673736
56.0,0.2815708476003528,4717.75,56613,0.241327041378289,25148,0.228148,179210,36,988.3808662665645,226679,0.4353465580683332
47.0,0.2558904078197905,7240.166666666667,86882,0.2777725883376206,51374,0.260374,4755,72,1472.6892010165866,45230,0.225287112967231
51.0,0.1729100964686638,5823.0,69876,0.2723052977294854,17992,0.253992,12570,96,461.8554917370296,19626,0.2581546911234629
55.0,0.3857918046127621,2715.1666666666665,32582,0.2727079521049,26598,0.275098,21485,60,816.4890481577511,32463,0.1466522547528528
54.0,0.127299765812209,8463.5,101562,0.236658704709986,30836,0.249836,26110,84,754.4015679516308,62262,0.1895148847247776
54.0,0.7864092776851285,2050.9166666666665,24611,0.2473423829653818,21110,0.2221099999999999,169077,24,1123.8598944257246,190056,0.222317808740061
55.0,0.4523089503356587,1865.8333333333333,22390,0.2929706681120441,17603,0.275603,8633,120,454.9331165012831,24284,0.3996419437011357
50.0,0.3296156618288332,3952.5,47430,0.2323554773523261,32684,0.235184,25415,60,925.8059033784632,57941,0.191575883028812
53.0,0.2471892681380032,4758.75,57105,0.2681013306623649,24760,0.25976,1632,36,1008.3119297517228,12750,0.3289675827238538
59.0,0.5191025769240253,2395.9166666666665,28751,0.258890881936069,30150,0.26715,13656,60,900.7265157618874,33961,0.3386737526920623
48.0,0.3376063520461543,3630.5833333333335,43567,0.2380168360580599,17390,0.2188899999999999,119722,24,917.707994966234,131041,0.2657086420246948
60.0,0.8328063706573645,1676.0833333333333,20113,0.2267576093601733,27214,0.224714,52656,36,1048.852877752631,99134,0.4527286073123595
59.0,0.1422412880044282,4386.083333333333,52633,0.2245547528960111,13197,0.227197,6415,120,276.8821426280891,51962,0.1779702798550773
43.2,0.1408631538034978,7801.416666666667,93617,0.2468937990250041,10868,0.257368,25397,84,272.9321558018385,79807,0.4673102205493854
51.0,0.1716796602970506,2856.333333333333,34276,0.2516654856745215,5163,0.253163,32248,96,125.3743363618091,38198,0.1981528554668243
61.0,0.2640025052155661,2151.583333333333,25819,0.1821822317409338,12824,0.204324,49734,36,465.0233901800585,63582,0.2019140922561381
36.0,0.1597610413177905,6018.333333333333,72220,0.2124214087649371,11336,0.223336,103795,36,428.4952003309024,125642,0.0943437121914956
61.0,0.1763176048588958,2502.6666666666665,30032,0.1951435199276996,5789,0.1837889999999999,67597,24,293.2641924268633,87958,0.6043856643408314
40.8,0.1772960256986935,21636.58333333333,259639,0.2082674307613362,39203,0.231703,2180,12,3647.08023469859,22131,0.2159059871988357
64.0,0.2562218628355591,4853.166666666667,58238,0.1968086253851197,15647,0.196647,43114,48,473.4874039847746,52153,0.1772264166734497
45.6,0.1193351408348712,7662.75,91953,0.1910068472786552,21715,0.207715,16980,48,650.4353504324093,33213,0.5055457486130079
54.0,0.948324090921434,1853.0833333333333,22237,0.2263112636023082,33644,0.234144,40922,60,941.3235674849936,64119,0.4714725437536073
52.0,0.5959476816200175,6173.75,74085,0.1710999384947515,36208,0.174708,7553,12,3304.2319994015834,70652,0.5635651599936462
54.0,0.5378504693356251,2780.833333333333,33370,0.1854112496546378,18943,0.177443,10973,24,950.6725134774842,92153,0.3087013594120962
42.400000000000006,0.6605002087043524,3046.833333333333,36562,0.2217851625245951,38934,0.257434,2603208,48,1230.4340525540445,2612797,0.3734549246387511
51.0,0.2861717965731803,2138.1666666666665,25658,0.1974959764384783,6423,0.199923,57777,36,237.88299637288844,73838,0.0656446682087652
66.0,0.0818002846545134,6257.916666666667,75095,0.3259884,11657,0.271657,41471,120,329.8993646775571,61242,0.5825699687710878
46.0,0.2981121363557902,4221.416666666667,50657,0.1959136080494626,20536,0.220036,107416,48,620.4555409479389,124093,0.0611514659954466
50.0,0.2321966904537773,4058.9166666666665,48707,0.2444892,9741,0.203741,69075,36,384.46701682767775,118511,0.2514780656533204
40.8,0.1485934000302054,8261.5,99138,0.2443425028249835,23007,0.256007,1156,48,755.6043743495422,10777,0.2485996001451692
51.0,0.4529655536669173,4023.3333333333335,48280,0.1903172372386648,40424,0.234924,84027,36,1482.4314109198974,102225,0.236268128684344
36.8,0.1292458806825506,7338.666666666667,88064,0.2599071122999699,24156,0.295156,135833,120,566.4924363690118,161014,0.1095899033439234
38.400000000000006,0.0518902063724786,14821.25,177855,0.2317025527049952,17289,0.209789,95498,60,489.0777211980991,100795,0.4362052170220401
50.0,0.7431570394576669,4620.0,55440,0.1855233268684352,31937,0.189937,21118,12,2936.3855222944208,32453,0.3286043803976798
40.0,0.1798265452109037,3698.0833333333335,44377,0.2104055154034537,11938,0.217938,52424,36,450.01354973535626,59951,0.172368674875069
54.0,0.1972343915150253,9639.75,115677,0.281752414333143,27962,0.247462,53022,24,1537.2902256069656,89023,0.4827722727825871
32.800000000000004,0.0511893241785242,13594.416666666666,163133,0.1960728807168578,13145,0.171145,61994,36,485.8890017679324,85222,0.1071683365164474
58.0,0.2707836943925136,4332.416666666667,51989,0.308280968179741,26850,0.28335,44452,72,822.1477906476991,54547,0.486149060748954
57.0,0.2072159182721278,2411.75,28941,0.1881368566838582,15007,0.214007,44144,60,387.7529908928042,133058,0.5284547949288323
44.8,0.1299511755712462,9787.916666666666,117455,0.1858106205731819,19372,0.188372,279360,48,574.9512772267276,288436,0.6809138064677995
40.0,0.1724286741214674,5679.75,68157,0.2315036535692716,15091,0.2175909999999999,3047,36,585.3517618414047,12695,0.0854081281215183
39.2,0.1135154155268959,9788.0,117456,0.2188964065763324,17310,0.21281,11421,36,660.0888871772578,31979,0.1182265399768881
56.0,0.34017106033937,7019.166666666667,84230,0.2939864165511338,61376,0.286876,14999,72,1822.717367698761,29842,0.0933659074560961
48.0,0.4436742487835273,3992.5,47910,0.2391979956648563,25068,0.242568,57154,24,1324.369438268233,68899,0.0213720313254242
65.0,0.4234838085695144,3142.4166666666665,37709,0.304728,27440,0.25394,4672,60,895.7625781123185,9716,0.4629774584414892
58.0,0.1377866374050795,6135.416666666667,73625,0.2086074203960138,12927,0.2179269999999999,138741,24,663.3784315790815,159098,0.192876457773361
53.0,0.4762940163876745,1646.4166666666667,19757,0.254743574662713,17292,0.276292,2757,120,399.1784068142738,44477,0.1810785285637999
44.0,0.2946536443702708,9251.666666666666,111020,0.2426045555361136,23552,0.239552,30012,12,2230.0372998322887,43095,0.4521291285619364
65.0,0.142041548463374,4516.833333333333,54202,0.2390079793513072,12176,0.240676,4212,60,349.5780008176501,39483,0.0518711996149119
53.0,0.4582174838114696,3015.333333333333,36184,0.1955250823367451,38807,0.223807,40775,48,1171.6784528528517,68351,0.2278326411523714
32.0,0.2627805353089326,4693.333333333333,56320,0.2004524056328795,21883,0.225383,314536,60,580.3166457165904,326068,0.06966193937591
40.0,0.1183906756572991,9271.416666666666,111257,0.2739642111241815,18609,0.280109,1850,60,572.6492834670111,24626,0.1859452564174194
55.0,0.4047819242425187,4597.666666666667,55172,0.2238548220091063,40220,0.22222,74216,36,1544.0523603590204,82416,0.5761166993738129
55.0,0.2592427633546996,2418.333333333333,29020,0.2319091366619266,16570,0.23007,11602,60,468.9354160461152,22214,0.1737664767520638
53.0,0.6473348098153745,1665.8333333333333,19990,0.1917589524471055,11236,0.2042359999999999,93057,24,567.3519040174446,100659,0.26027699018118
40.8,0.0991892506309044,16370.166666666666,196442,0.1991451713628076,25519,0.2005189999999999,6837,24,1297.7445643696772,9573,0.169365098745828
52.0,0.8111362071260299,1810.4166666666667,21725,0.2393707184393972,38766,0.218766,53042,48,1262.49450831775,90534,0.427326575550395
57.0,0.337915698089053,4091.5,49098,0.3325893200448405,31990,0.31099,2088,72,1030.5820787313603,22172,0.1264628873651131
39.2,0.2878449427687387,2755.083333333333,33061,0.1633509619367268,11580,0.17658,79011,36,409.0368044064393,144771,0.3052513339718397
51.0,0.3288865360424856,7589.75,91077,0.2917773553027493,37597,0.2475969999999999,5342,36,1579.166586928455,17299,0.1155737778099784
54.0,1.336525910015828,1439.1666666666667,17270,0.2081576912327205,28352,0.216852,25827,36,1065.4835388311126,38825,0.2443503106211836
40.8,0.0553633865565411,11469.583333333334,137635,0.1571312,12414,0.196414,8385,48,349.9949757257945,13939,0.3663117190145242
56.0,0.1078322872041269,3710.25,44523,0.255169233101834,12648,0.2411479999999999,6932,96,310.0847435991121,25164,0.4228086860980984
58.0,0.4167158302810778,3416.5,40998,0.2459671028204983,29172,0.236172,7970,48,960.7096341553024,16901,0.7110837126016447
65.0,0.3876845477649174,4153.25,49839,0.3424608063374542,34869,0.3008689999999999,5439,108,1045.1508480046432,15851,0.2604730757857563
47.0,0.2866131962971788,4038.5,48462,0.1899805665985479,29111,0.216111,5097,72,680.4873932461569,45290,0.2842673053306766
